,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
RBM12B,RBM12B,0.26096962948389946,0.2357093775622256,0.36274022311093423,Not Significant,paired_ttest,3.722619866471311,3.4616502369874116,0.4404042842139826,Not Significant
TMEM44,TMEM44,0.1955807112351331,0.23568789121067807,0.36274022311093423,Not Significant,paired_ttest,4.056858645771555,3.8612779345364223,0.4404042842139826,Not Significant
TMEM222,TMEM222,0.3466190088576586,0.23574745993903778,0.36274022311093423,Not Significant,paired_ttest,4.331435925761148,3.984816916903489,0.4404042842139826,Not Significant
DDC8,DDC8,0.27257015052168665,0.23577524920873202,0.3627459594928915,Not Significant,paired_ttest,2.8509469557738996,2.578376805252213,0.4403974163256894,Not Significant
SNAI2,SNAI2,-0.22625339653915288,0.2358891792802133,0.36288421090086687,Not Significant,paired_ttest,2.688677687962427,2.9149310845015797,0.4402319275497942,Not Significant
CHMP4B,CHMP4B,0.2746999137762014,0.23597988085984822,0.36298670378972264,Not Significant,paired_ttest,4.479234327290664,4.204534413514462,0.44010928288816265,Not Significant
SNRPF,SNRPF,0.2398494454008775,0.23601391488893242,0.36300201804382215,Not Significant,paired_ttest,3.7841883684543514,3.544338923053474,0.4400909605758433,Not Significant
ARL15,ARL15,-0.35948393600345874,0.23618158289001204,0.36322284439965535,Not Significant,paired_ttest,2.9117534149010775,3.2712373509045363,0.4398268449397295,Not Significant
LTF,LTF,0.813969271702339,0.23646850993249038,0.36362701506958645,Not Significant,paired_ttest,5.871846146133265,5.057876874430926,0.4393438590589381,Not Significant
C9orf72,C9orf72,-0.341548678771989,0.23653144889612682,0.3636867030655796,Not Significant,paired_ttest,1.9361764181629002,2.2777250969348892,0.4392725771163388,Not Significant
HERPUD1,HERPUD1,0.28926859692454965,0.23668839312476347,0.3638909050325244,Not Significant,paired_ttest,6.241725485501502,5.952456888576952,0.43902879888902835,Not Significant
DNAAF1,DNAAF1,-0.3167557426740797,0.23676354099053218,0.36396932231806495,Not Significant,paired_ttest,3.8200862411950935,4.136841983869173,0.43893521994832485,Not Significant
AVIL,AVIL,0.2473722536421259,0.23681050223065916,0.3640043975968003,Not Significant,paired_ttest,4.101474610520764,3.8541023568786383,0.43889336953641833,Not Significant
RP11-5A19.5,RP11-5A19.5,0.3656448287954288,0.2368434225179773,0.3640178853992278,Not Significant,paired_ttest,3.395689618277033,3.0300447894816043,0.43887727750653205,Not Significant
SACM1L,SACM1L,-0.274911876659242,0.2370311214623489,0.3642321055107911,Not Significant,paired_ttest,3.8598265603651547,4.134738437024397,0.4386217756425862,Not Significant
AC115618.1,AC115618.1,-0.27002895474068134,0.23701086878960395,0.3642321055107911,Not Significant,paired_ttest,1.8736442923661432,2.1436732471068245,0.4386217756425862,Not Significant
PDE6B,PDE6B,-0.3528204819623544,0.23720015917365128,0.364454708489805,Not Significant,paired_ttest,2.777827714238408,3.130648196200762,0.4383564346302589,Not Significant
RPS23,RPS23,-0.4550196128113324,0.23728017450539798,0.3645404984045022,Not Significant,paired_ttest,6.751689106187312,7.2067087189986445,0.43825421698499706,Not Significant
IFFO1,IFFO1,0.253796770983441,0.23769345296416033,0.36513822059177514,Not Significant,paired_ttest,3.780022067186132,3.526225296202691,0.43754270519508587,Not Significant
ZNF133,ZNF133,0.25651672463270403,0.23804104030770398,0.36563491835750844,Not Significant,paired_ttest,3.03552968117502,2.779012956542316,0.4369523355699519,Not Significant
ANKRD36C,ANKRD36C,-0.3259507626232301,0.23824170981451478,0.36589017526110806,Not Significant,paired_ttest,4.607834098982705,4.933784861605935,0.4366492518612253,Not Significant
ERAS,ERAS,-0.24948493848463738,0.23827082435809688,0.36589017526110806,Not Significant,paired_ttest,0.30088701632736714,0.5503719548120045,0.4366492518612253,Not Significant
SLC39A11,SLC39A11,0.31345326034045407,0.23828003055940297,0.36589017526110806,Not Significant,paired_ttest,4.834889123565646,4.521435863225192,0.4366492518612253,Not Significant
EIF2B5,EIF2B5,0.28061634441267813,0.23835022236452036,0.3659606836100936,Not Significant,paired_ttest,5.186612728714161,4.905996384301483,0.43656556981968336,Not Significant
C1QTNF3,C1QTNF3,-0.3643161253850593,0.2384198267784676,0.36603027581590397,Not Significant,paired_ttest,2.5175512108635294,2.8818673362485887,0.436482990900726,Not Significant
FNDC5,FNDC5,-0.2849744410737365,0.2384931587120022,0.36606830184709277,Not Significant,paired_ttest,1.4598424303759543,1.7448168714496908,0.43643787540389894,Not Significant
GSPT1,GSPT1,0.28492778300172805,0.2384782533575898,0.36606830184709277,Not Significant,paired_ttest,4.965863944023999,4.680936161022271,0.43643787540389894,Not Significant
GSTA1,GSTA1,0.33812154454697363,0.23854830516635137,0.36611567226793373,Not Significant,paired_ttest,1.0221546105792503,0.6840330660322766,0.43638167993081384,Not Significant
HINT2,HINT2,0.36142039232097467,0.238583276884064,0.3661320727101129,Not Significant,paired_ttest,3.5222423164961945,3.16082192417522,0.43636222580046186,Not Significant
SNX33,SNX33,-0.25830048362525737,0.23863954494287884,0.3661811480467014,Not Significant,paired_ttest,3.7564860359901298,4.014786519615387,0.4363040180628279,Not Significant
