gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
NOS1,NOS1,-4.430368335697476,5.2067609128203345e-43,8.547336231144668e-41,Downregulated,welch_ttest,3.477200026103441,7.907568361800917,40.068169211630114,Transcriptional Driver
GPC3,GPC3,-3.138984948638469,5.405112118131353e-43,8.78595675672724e-41,Downregulated,welch_ttest,6.9836134109810315,10.1225983596195,40.05621093860324,Transcriptional Driver
KCTD6,KCTD6,-1.4598318969370592,6.0240487031153656e-43,9.696963834723569e-41,Downregulated,welch_ttest,9.665633633852451,11.12546553078951,40.013364224108244,Transcriptional Driver
ISCU,ISCU,-1.0602290859223107,6.134538895959203e-43,9.779870662981114e-41,Downregulated,welch_ttest,13.396613951792466,14.456843037714776,40.00966688864032,Transcriptional Driver
TREM2,TREM2,4.6707026673461325,7.188766453516604e-43,1.1244315830123142e-40,Upregulated,welch_ttest,9.432334149990064,4.761631482643931,39.949066964438366,Transcriptional Driver
LINC00982,LINC00982,-3.5398784207534586,7.12760218299583e-43,1.1244315830123142e-40,Downregulated,welch_ttest,6.171773658135438,9.711652078888896,39.949066964438366,Transcriptional Driver
COL23A1,COL23A1,4.166858183696954,9.463189492726069e-43,1.4663521662560582e-40,Upregulated,welch_ttest,11.022705966281315,6.855847782584361,39.833761714896546,Transcriptional Driver
LOC149703,LOC149703,-4.847473949025573,1.133707778485629e-42,1.7404513858603453e-40,Downregulated,welch_ttest,5.552662184640169,10.400136133665741,39.7593381028867,Transcriptional Driver
DDIT4,DDIT4,2.4921716447137516,1.2088653134438228e-42,1.8388061373301453e-40,Upregulated,welch_ttest,13.612135369557517,11.119963724843766,39.735464055387155,Transcriptional Driver
CDCA2,CDCA2,4.3415260620235205,1.2206856616353404e-42,1.839906206355813e-40,Upregulated,welch_ttest,9.705721601786037,5.364195539762516,39.735204315631954,Transcriptional Driver
NPHS2,NPHS2,-7.137787890365453,1.2687558558549764e-42,1.895132620727523e-40,Downregulated,welch_ttest,5.107254052211894,12.245041942577346,39.72236039285432,Transcriptional Driver
SOX11,SOX11,4.855826156638604,1.5703198610493436e-42,2.324634222874832e-40,Upregulated,welch_ttest,7.943122277879173,3.087296121240569,39.63364537287475,Transcriptional Driver
/EFCAB3,/EFCAB3,4.77623565488968,1.6992521378715277e-42,2.493238977514153e-40,Upregulated,welch_ttest,7.442140511471643,2.6659048565819625,39.6032360922778,Transcriptional Driver
SMIM5,SMIM5,-3.317032263649452,2.1752043483180316e-42,3.1635866750099094e-40,Downregulated,welch_ttest,6.613819615984211,9.930851879633662,39.499820262370356,Transcriptional Driver
SORD,SORD,-2.899308133275966,2.346019560193204e-42,3.3823482006959413e-40,Downregulated,welch_ttest,10.242223710628938,13.141531843904904,39.47078168536728,Transcriptional Driver
SFXN2,SFXN2,-2.3426786533724737,2.920774242338274e-42,4.17469283948005e-40,Downregulated,welch_ttest,9.169793655909388,11.512472309281861,39.37937547300104,Transcriptional Driver
SOST,SOST,-5.237123289194825,2.955626778793471e-42,4.18840102499109e-40,Downregulated,welch_ttest,4.392887573244053,9.630010862438878,39.37795174279962,Transcriptional Driver
ASAP1,ASAP1,1.2751088088630524,3.00983983427392e-42,4.229080038327254e-40,Upregulated,welch_ttest,11.768595083551883,10.49348627468883,39.373754095445456,Transcriptional Driver
MIR210HG,MIR210HG,3.1059028428941193,3.282820984948411e-42,4.573879994155013e-40,Upregulated,welch_ttest,9.725340613797293,6.619437770903174,39.33971523425485,Transcriptional Driver
SELENBP1,SELENBP1,-2.0104558694000136,3.623979786125249e-42,5.007132071163052e-40,Downregulated,welch_ttest,9.515789008640665,11.526244878040679,39.300410953234426,Transcriptional Driver
PFKFB4,PFKFB4,3.117484516099676,3.752844528832818e-42,5.142327461822159e-40,Upregulated,welch_ttest,9.45038967028273,6.332905154183054,39.28884027107429,Transcriptional Driver
ASS1,ASS1,-3.3040416334571745,3.817707548592421e-42,5.188327143906749e-40,Downregulated,welch_ttest,11.589211414067037,14.893253047524212,39.2849726477934,Transcriptional Driver
RHCG,RHCG,-5.127164793249341,4.8082070637478905e-42,6.481306757474799e-40,Downregulated,welch_ttest,4.620807625715469,9.74797241896481,39.188337423088456,Transcriptional Driver
FXYD4,FXYD4,-6.083908949643408,5.43657443758245e-42,7.211072334009361e-40,Downregulated,welch_ttest,4.849646856936727,10.933555806580134,39.14200014802477,Transcriptional Driver
C6orf136,C6orf136,-1.2125917566134365,5.41822974879125e-42,7.211072334009361e-40,Downregulated,welch_ttest,9.261836558359256,10.474428314972693,39.14200014802477,Transcriptional Driver
ITGA5,ITGA5,2.098467478940133,5.6137291102618573e-42,7.386954654614413e-40,Upregulated,welch_ttest,10.600350792742407,8.501883313802274,39.13153456692069,Transcriptional Driver
APOC1,APOC1,5.927682222074455,7.756316745387666e-42,1.0125963121143897e-39,Upregulated,welch_ttest,11.34204977336833,5.414367551293876,38.994563658651025,Transcriptional Driver
UQCRC1,UQCRC1,-1.593779466332645,8.194923468935948e-42,1.0614986805856096e-39,Downregulated,welch_ttest,11.092272011363098,12.686051477695743,38.97408054131404,Transcriptional Driver
BDH1,BDH1,-2.1286413489832974,9.843034411725292e-42,1.2650969809798865e-39,Downregulated,welch_ttest,7.647000763222394,9.775642112205691,38.897876180662074,Transcriptional Driver
SLFN11,SLFN11,2.229975713091794,1.0674320711729747e-41,1.3613864415421477e-39,Upregulated,welch_ttest,9.536734508578432,7.306758795486638,38.866018578979514,Transcriptional Driver
CYP17A1,CYP17A1,-4.770322732818503,1.1665636263027518e-41,1.4764599178702003e-39,Downregulated,welch_ttest,5.743800782933004,10.514123515751507,38.83077833852896,Transcriptional Driver
NPTX2,NPTX2,6.495832514350136,1.1808997022575064e-41,1.483281595714353e-39,Upregulated,welch_ttest,11.43902976687802,4.9431972525278844,38.82877639188769,Transcriptional Driver
/NNMT,/NNMT,4.385646240248269,1.3177078041176144e-41,1.6426763452834622e-39,Upregulated,welch_ttest,14.776193339307538,10.390547099059269,38.78444799670119,Transcriptional Driver
/CYP2B6,/CYP2B6,-5.132283276778695,1.4114597269720584e-41,1.7464180800893078e-39,Downregulated,welch_ttest,5.069800210913693,10.202083487692388,38.75785178116838,Transcriptional Driver
SLC26A7,SLC26A7,-4.988254504414979,1.466544815137895e-41,1.801134298887874e-39,Downregulated,welch_ttest,6.012351466288608,11.000605970703587,38.74445390345398,Transcriptional Driver
HLA-F,HLA-F,1.768327453152036,1.6830430993895173e-41,2.0518275432263378e-39,Upregulated,welch_ttest,14.113267926445117,12.34494047329308,38.68785914461901,Transcriptional Driver
HSD17B10,HSD17B10,-1.0525617113374697,2.2213335488274955e-41,2.6883000174861223e-39,Downregulated,welch_ttest,10.884476833424925,11.937038544762395,38.570522265131665,Transcriptional Driver
ACOX2,ACOX2,-2.5809352410435142,2.5249696978696477e-41,3.033623013817301e-39,Downregulated,welch_ttest,8.748935159742219,11.329870400785733,38.51803838966377,Transcriptional Driver
